Data TLB contains 2 sets.
Each set contains 1 entries.
Number of bits used for the index is 1.

Number of virtual pages is 8.
Number of physical pages is 8.
Each page contains 512 bytes.
Number of bits used for the page table index is 3.
Number of bits used for the page offset is 9.

D-cache contains 4 sets.
Each set contains 1 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 2.
Number of bits used for the offset is 4.

L2-cache contains 16 sets.
Each set contains 4 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 4.
Number of bits used for the offset is 4.

The addresses read in are virtual addresses.

Virtual  Virt.  Page TLB    TLB TLB  PT   Phys        DC  DC          L2  L2  
Address  Page # Off  Tag    Ind Res. Res. Pg # DC Tag Ind Res. L2 Tag Ind Res.
-------- ------ ---- ------ --- ---- ---- ---- ------ --- ---- ------ --- ----
00000fe4      7  1e4      3   1 miss hit     2     17   2 miss      5   e hit 
000009dc      4  1dc      2   0 miss hit     4     27   1 miss      9   d miss
00000181      0  181      0   0 miss hit     3     1e   0 miss      7   8 miss
00000add      5   dd      2   1 miss hit     0      3   1 miss      0   d miss
00000cc2      6   c2      3   0 miss hit     5     2b   0 miss      a   c miss
000007b4      3  1b4      1   1 miss hit     1      e   3 miss      3   b miss
00000e6b      7   6b      3   1 miss hit     2     11   2 miss      4   6 hit 
00000bac      5  1ac      2   1 miss hit     0      6   2 miss      1   a hit 
00000b61      5  161      2   1 hit          0      5   2 miss      1   6 miss
00000230      1   30      0   1 miss hit     6     30   3 miss      c   3 hit 
0000037b      1  17b      0   1 hit          6     35   3 miss      d   7 miss
0000029c      1   9c      0   1 hit          6     32   1 miss      c   9 miss
000008ca      4   ca      2   0 miss hit     4     23   0 miss      8   c miss
00000d67      6  167      3   0 miss hit     5     2d   2 miss      b   6 miss
00000c12      6   12      3   0 hit          5     28   1 miss      a   1 miss
00000381      1  181      0   1 hit          6     36   0 miss      d   8 miss
000006a6      3   a6      1   1 miss hit     1      a   2 miss      2   a hit 
00000bb7      5  1b7      2   1 miss hit     0      6   3 miss      1   b miss
000005a8      2  1a8      1   0 miss hit     7     3e   2 miss      f   a miss
000008e9      4   e9      2   0 miss hit     4     23   2 miss      8   e miss
00000804      4    4      2   0 hit          4     20   0 miss      8   0 miss
0000088b      4   8b      2   0 hit          4     22   0 miss      8   8 miss
00000f18      7  118      3   1 miss hit     2     14   1 miss      5   1 miss
00000ef6      7   f6      3   1 hit          2     13   3 miss      4   f miss
000003b3      1  1b3      0   1 miss hit     6     36   3 miss      d   b miss
0000075d      3  15d      1   1 miss hit     1      d   1 miss      3   5 hit 
00000de9      6  1e9      3   0 miss hit     5     2f   2 miss      b   e miss
0000014a      0  14a      0   0 miss hit     3     1d   0 miss      7   4 miss
00000872      4   72      2   0 miss hit     4     21   3 miss      8   7 hit 
