Data TLB contains 2 sets.
Each set contains 1 entries.
Number of bits used for the index is 1.

Number of virtual pages is 8.
Number of physical pages is 8.
Each page contains 512 bytes.
Number of bits used for the page table index is 3.
Number of bits used for the page offset is 9.

D-cache contains 4 sets.
Each set contains 1 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 2.
Number of bits used for the offset is 4.

L2-cache contains 16 sets.
Each set contains 4 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 4.
Number of bits used for the offset is 4.

The addresses read in are virtual addresses.

Virtual  Virt.  Page TLB    TLB TLB  PT   Phys        DC  DC          L2  L2  
Address  Page # Off  Tag    Ind Res. Res. Pg # DC Tag Ind Res. L2 Tag Ind Res.
-------- ------ ---- ------ --- ---- ---- ---- ------ --- ---- ------ --- ----
00000070      0   70      0   0 miss hit     3     19   3 miss      6   7 miss
00000924      4  124      2   0 miss hit     4     24   2 miss      9   2 miss
00000a2f      5   2f      2   1 miss hit     0      0   2 miss      0   2 miss
000003e6      1  1e6      0   1 miss hit     6     37   2 miss      d   e hit 
00000bc5      5  1c5      2   1 miss hit     0      7   0 miss      1   c miss
0000001f      0   1f      0   0 miss hit     3     18   1 miss      6   1 hit 
00000913      4  113      2   0 miss hit     4     24   1 miss      9   1 miss
000005c5      2  1c5      1   0 miss hit     7     3f   0 miss      f   c miss
00000671      3   71      1   1 miss hit     1      9   3 miss      2   7 miss
00000ed6      7   d6      3   1 miss hit     2     13   1 miss      4   d miss
000009bb      4  1bb      2   0 miss hit     4     26   3 miss      9   b miss
00000aac      5   ac      2   1 miss hit     0      2   2 miss      0   a miss
00000448      2   48      1   0 miss hit     7     39   0 miss      e   4 miss
000000b0      0   b0      0   0 miss hit     3     1a   3 miss      6   b miss
00000a60      5   60      2   1 hit          0      1   2 miss      0   6 miss
000005e0      2  1e0      1   0 miss hit     7     3f   2 miss      f   e miss
00000c57      6   57      3   0 miss hit     5     29   1 miss      a   5 miss
00000767      3  167      1   1 miss hit     1      d   2 miss      3   6 miss
00000d6e      6  16e      3   0 hit          5     2d   2 miss      b   6 miss
00000932      4  132      2   0 miss hit     4     24   3 miss      9   3 miss
00000b6d      5  16d      2   1 miss hit     0      5   2 miss      1   6 miss
000000ca      0   ca      0   0 miss hit     3     1b   0 miss      6   c miss
00000e0f      7    f      3   1 miss hit     2     10   0 miss      4   0 hit 
00000229      1   29      0   1 miss hit     6     30   2 miss      c   2 miss
00000a51      5   51      2   1 miss hit     0      1   1 miss      0   5 miss
00000343      1  143      0   1 miss hit     6     35   0 miss      d   4 miss
00000913      4  113      2   0 miss hit     4     24   1 miss      9   1 hit 
00000d6f      6  16f      3   0 miss hit     5     2d   2 miss      b   6 hit 
00000255      1   55      0   1 hit          6     31   1 miss      c   5 miss
000002e2      1   e2      0   1 hit          6     33   2 miss      c   e hit 
00000de7      6  1e7      3   0 hit          5     2f   2 miss      b   e miss
00000ada      5   da      2   1 miss hit     0      3   1 miss      0   d hit 
000009c5      4  1c5      2   0 miss hit     4     27   0 miss      9   c hit 
000005bc      2  1bc      1   0 miss hit     7     3e   3 miss      f   b miss
0000011e      0  11e      0   0 miss hit     3     1c   1 miss      7   1 miss
000008f4      4   f4      2   0 miss hit     4     23   3 miss      8   f miss
00000fd8      7  1d8      3   1 miss hit     2     17   1 miss      5   d miss
00000682      3   82      1   1 miss hit     1      a   0 miss      2   8 miss
00000526      2  126      1   0 miss hit     7     3c   2 miss      f   2 miss
00000fbd      7  1bd      3   1 miss hit     2     16   3 miss      5   b miss
00000408      2    8      1   0 hit          7     38   0 miss      e   0 hit 
0000018f      0  18f      0   0 miss hit     3     1e   0 miss      7   8 miss
000001c8      0  1c8      0   0 hit          3     1f   0 miss      7   c miss
0000038f      1  18f      0   1 miss hit     6     36   0 miss      d   8 hit 
0000023e      1   3e      0   1 hit          6     30   3 miss      c   3 miss
00000478      2   78      1   0 miss hit     7     39   3 miss      e   7 miss
0000055d      2  15d      1   0 hit          7     3d   1 miss      f   5 miss
00000be8      5  1e8      2   1 miss hit     0      7   2 miss      1   e miss
00000920      4  120      2   0 miss hit     4     24   2 miss      9   2 hit 
00000692      3   92      1   1 miss hit     1      a   1 miss      2   9 miss
00000217      1   17      0   1 miss hit     6     30   1 miss      c   1 miss
0000030e      1  10e      0   1 hit          6     34   0 miss      d   0 miss
000009fb      4  1fb      2   0 hit          4     27   3 miss      9   f miss
00000086      0   86      0   0 miss hit     3     1a   0 miss      6   8 miss
000004c0      2   c0      1   0 miss hit     7     3b   0 miss      e   c miss
000009f3      4  1f3      2   0 miss hit     4     27   3 hit                 
00000527      2  127      1   0 miss hit     7     3c   2 miss      f   2 hit 
00000e0a      7    a      3   1 miss hit     2     10   0 miss      4   0 hit 
00000864      4   64      2   0 miss hit     4     21   2 miss      8   6 miss
00000136      0  136      0   0 miss hit     3     1c   3 miss      7   3 miss
00000703      3  103      1   1 miss hit     1      c   0 miss      3   0 miss
0000049e      2   9e      1   0 miss hit     7     3a   1 miss      e   9 miss
00000fc8      7  1c8      3   1 miss hit     2     17   0 miss      5   c miss
0000054f      2  14f      1   0 hit          7     3d   0 miss      f   4 miss
000004c7      2   c7      1   0 hit          7     3b   0 miss      e   c hit 
00000949      4  149      2   0 miss hit     4     25   0 miss      9   4 miss
00000efe      7   fe      3   1 hit          2     13   3 miss      4   f miss
00000f4f      7  14f      3   1 hit          2     15   0 miss      5   4 miss
000005f1      2  1f1      1   0 miss hit     7     3f   3 miss      f   f miss
00000b25      5  125      2   1 miss hit     0      4   2 miss      1   2 miss
00000464      2   64      1   0 hit          7     39   2 miss      e   6 miss
00000610      3   10      1   1 miss hit     1      8   1 miss      2   1 miss
00000f7f      7  17f      3   1 miss hit     2     15   3 miss      5   7 miss
00000f0f      7  10f      3   1 hit          2     14   0 miss      5   0 miss
00000981      4  181      2   0 miss hit     4     26   0 miss      9   8 miss
00000200      1    0      0   1 miss hit     6     30   0 miss      c   0 miss
00000690      3   90      1   1 miss hit     1      a   1 miss      2   9 hit 
00000a90      5   90      2   1 miss hit     0      2   1 miss      0   9 miss
00000aec      5   ec      2   1 hit          0      3   2 miss      0   e miss
000007a1      3  1a1      1   1 miss hit     1      e   2 miss      3   a miss
00000261      1   61      0   1 miss hit     6     31   2 miss      c   6 miss
0000052c      2  12c      1   0 miss hit     7     3c   2 miss      f   2 hit 
00000cd2      6   d2      3   0 miss hit     5     2b   1 miss      a   d miss
0000098f      4  18f      2   0 miss hit     4     26   0 miss      9   8 hit 
00000896      4   96      2   0 hit          4     22   1 miss      8   9 miss
00000c0d      6    d      3   0 miss hit     5     28   0 miss      a   0 miss
0000054f      2  14f      1   0 miss hit     7     3d   0 miss      f   4 hit 
00000ed5      7   d5      3   1 miss hit     2     13   1 miss      4   d hit 
0000091d      4  11d      2   0 miss hit     4     24   1 miss      9   1 hit 
00000603      3    3      1   1 miss hit     1      8   0 miss      2   0 miss
00000a6e      5   6e      2   1 miss hit     0      1   2 miss      0   6 miss
0000069e      3   9e      1   1 miss hit     1      a   1 miss      2   9 hit 
00000e73      7   73      3   1 miss hit     2     11   3 miss      4   7 miss
00000cd5      6   d5      3   0 miss hit     5     2b   1 miss      a   d hit 
000007b0      3  1b0      1   1 miss hit     1      e   3 miss      3   b miss
00000671      3   71      1   1 hit          1      9   3 miss      2   7 hit 
000001e8      0  1e8      0   0 miss hit     3     1f   2 miss      7   e miss
00000aec      5   ec      2   1 miss hit     0      3   2 miss      0   e hit 
000009e9      4  1e9      2   0 miss hit     4     27   2 miss      9   e miss
00000e58      7   58      3   1 miss hit     2     11   1 miss      4   5 miss
000003f3      1  1f3      0   1 miss hit     6     37   3 miss      d   f miss
000001d8      0  1d8      0   0 miss hit     3     1f   1 miss      7   d miss
0000040f      2    f      1   0 miss hit     7     38   0 miss      e   0 miss
0000073b      3  13b      1   1 miss hit     1      c   3 miss      3   3 miss
00000f4f      7  14f      3   1 miss hit     2     15   0 miss      5   4 hit 
00000ea0      7   a0      3   1 hit          2     12   2 miss      4   a hit 
00000c62      6   62      3   0 miss hit     5     29   2 miss      a   6 miss
00000170      0  170      0   0 miss hit     3     1d   3 miss      7   7 miss
00000ce1      6   e1      3   0 miss hit     5     2b   2 miss      a   e miss
000000cd      0   cd      0   0 miss hit     3     1b   0 miss      6   c miss
0000039f      1  19f      0   1 miss hit     6     36   1 miss      d   9 miss
000005e4      2  1e4      1   0 miss hit     7     3f   2 miss      f   e miss
00000d08      6  108      3   0 miss hit     5     2c   0 miss      b   0 miss
00000ab9      5   b9      2   1 miss hit     0      2   3 miss      0   b miss
000009b6      4  1b6      2   0 miss hit     4     26   3 miss      9   b miss
000002b3      1   b3      0   1 miss hit     6     32   3 miss      c   b miss
00000e2e      7   2e      3   1 miss hit     2     10   2 miss      4   2 miss
0000001d      0   1d      0   0 miss hit     3     18   1 miss      6   1 miss
000006f3      3   f3      1   1 miss hit     1      b   3 miss      2   f miss
00000190      0  190      0   0 hit          3     1e   1 miss      7   9 miss
000006cd      3   cd      1   1 hit          1      b   0 miss      2   c miss
00000ac6      5   c6      2   1 miss hit     0      3   0 miss      0   c miss
000002ef      1   ef      0   1 miss hit     6     33   2 miss      c   e miss
00000154      0  154      0   0 hit          3     1d   1 miss      7   5 miss
00000d63      6  163      3   0 miss hit     5     2d   2 miss      b   6 miss
000004df      2   df      1   0 miss hit     7     3b   1 miss      e   d miss
00000c5f      6   5f      3   0 miss hit     5     29   1 miss      a   5 miss
000005d7      2  1d7      1   0 miss hit     7     3f   1 miss      f   d miss
00000935      4  135      2   0 miss hit     4     24   3 miss      9   3 hit 
00000e59      7   59      3   1 miss hit     2     11   1 miss      4   5 hit 
00000135      0  135      0   0 miss hit     3     1c   3 miss      7   3 hit 
00000cfd      6   fd      3   0 miss hit     5     2b   3 miss      a   f miss
0000083a      4   3a      2   0 miss hit     4     20   3 miss      8   3 miss
00000624      3   24      1   1 miss hit     1      8   2 miss      2   2 miss
00000798      3  198      1   1 hit          1      e   1 miss      3   9 miss
000007db      3  1db      1   1 hit          1      f   1 miss      3   d miss
00000b9e      5  19e      2   1 miss hit     0      6   1 miss      1   9 miss
000001fb      0  1fb      0   0 miss hit     3     1f   3 miss      7   f miss
00000ccb      6   cb      3   0 miss hit     5     2b   0 miss      a   c miss
00000113      0  113      0   0 miss hit     3     1c   1 miss      7   1 miss
000006e5      3   e5      1   1 miss hit     1      b   2 miss      2   e miss
00000ac9      5   c9      2   1 miss hit     0      3   0 miss      0   c hit 
00000bef      5  1ef      2   1 hit          0      7   2 miss      1   e miss
000006e0      3   e0      1   1 miss hit     1      b   2 miss      2   e hit 
00000501      2  101      1   0 miss hit     7     3c   0 miss      f   0 miss
00000e53      7   53      3   1 miss hit     2     11   1 miss      4   5 hit 
00000e64      7   64      3   1 hit          2     11   2 miss      4   6 miss
00000e1a      7   1a      3   1 hit          2     10   1 miss      4   1 miss
000008ab      4   ab      2   0 miss hit     4     22   2 miss      8   a miss
00000c58      6   58      3   0 miss hit     5     29   1 miss      a   5 hit 
000006bc      3   bc      1   1 miss hit     1      a   3 miss      2   b miss
00000b18      5  118      2   1 miss hit     0      4   1 miss      1   1 miss
00000159      0  159      0   0 miss hit     3     1d   1 miss      7   5 hit 
00000c0f      6    f      3   0 miss hit     5     28   0 miss      a   0 miss
00000955      4  155      2   0 miss hit     4     25   1 miss      9   5 miss
00000132      0  132      0   0 miss hit     3     1c   3 miss      7   3 hit 
0000031b      1  11b      0   1 miss hit     6     34   1 miss      d   1 miss
00000e11      7   11      3   1 miss hit     2     10   1 miss      4   1 hit 
00000cc5      6   c5      3   0 miss hit     5     2b   0 miss      a   c hit 
000004bd      2   bd      1   0 miss hit     7     3a   3 miss      e   b miss
00000137      0  137      0   0 miss hit     3     1c   3 miss      7   3 hit 
000002b8      1   b8      0   1 miss hit     6     32   3 miss      c   b hit 
00000b1f      5  11f      2   1 miss hit     0      4   1 miss      1   1 hit 
00000d1c      6  11c      3   0 miss hit     5     2c   1 miss      b   1 miss
000008c2      4   c2      2   0 miss hit     4     23   0 miss      8   c miss
000000bd      0   bd      0   0 miss hit     3     1a   3 miss      6   b miss
0000042f      2   2f      1   0 miss hit     7     38   2 miss      e   2 miss
00000dd0      6  1d0      3   0 miss hit     5     2f   1 miss      b   d miss
0000020e      1    e      0   1 miss hit     6     30   0 miss      c   0 miss
00000a4d      5   4d      2   1 miss hit     0      1   0 miss      0   4 miss
00000e6d      7   6d      3   1 miss hit     2     11   2 miss      4   6 hit 
00000de4      6  1e4      3   0 hit          5     2f   2 miss      b   e miss
00000f8e      7  18e      3   1 hit          2     16   0 miss      5   8 miss
00000995      4  195      2   0 miss hit     4     26   1 miss      9   9 miss
00000ed2      7   d2      3   1 hit          2     13   1 miss      4   d miss
